epoch,train_loss,train_pixel,train_edge,val_loss,val_psnr,val_ssim,lr
1,0.042742,0.032145,0.105966,0.036647,29.0650,0.746192,1.00e-04
2,0.033112,0.023715,0.093968,0.036092,29.2568,0.753302,1.00e-04
3,0.032350,0.023123,0.092269,0.036980,28.9826,0.748446,1.00e-04
4,0.032301,0.023073,0.092276,0.035593,29.2694,0.745363,1.00e-04
5,0.032265,0.023077,0.091883,0.035346,29.3882,0.752932,1.00e-04
6,0.032017,0.022913,0.091039,0.035414,29.3471,0.753248,9.99e-05
7,0.031895,0.022813,0.090818,0.035108,29.4521,0.755748,9.99e-05
8,0.031837,0.022793,0.090438,0.034960,29.4581,0.754395,9.99e-05
9,0.031549,0.022644,0.089046,0.034960,29.4203,0.749387,9.98e-05
10,0.031583,0.022662,0.089213,0.034765,29.4999,0.755044,9.98e-05
11,0.031398,0.022570,0.088277,0.034772,29.4568,0.752714,9.97e-05
12,0.031366,0.022545,0.088213,0.034657,29.5173,0.755558,9.97e-05
13,0.031388,0.022576,0.088117,0.034511,29.5579,0.756056,9.96e-05
14,0.031335,0.022564,0.087706,0.034447,29.5623,0.756434,9.95e-05
15,0.031181,0.022453,0.087281,0.034430,29.5528,0.755282,9.95e-05
16,0.031237,0.022497,0.087395,0.034332,29.5618,0.756092,9.94e-05
17,0.031085,0.022408,0.086774,0.034289,29.6001,0.758391,9.93e-05
18,0.031116,0.022458,0.086575,0.034197,29.6145,0.758530,9.92e-05
19,0.031074,0.022409,0.086649,0.034202,29.6039,0.757708,9.91e-05
20,0.030959,0.022346,0.086124,0.034274,29.6276,0.760331,9.90e-05
21,0.030951,0.022342,0.086086,0.034088,29.6517,0.759569,9.89e-05
22,0.030948,0.022349,0.085987,0.034057,29.6198,0.757321,9.88e-05
23,0.030931,0.022335,0.085954,0.034117,29.6051,0.758636,9.87e-05
24,0.030828,0.022283,0.085453,0.033958,29.6553,0.759131,9.86e-05
25,0.030802,0.022264,0.085386,0.033943,29.6662,0.760433,9.84e-05
26,0.030829,0.022288,0.085414,0.033956,29.6587,0.758464,9.83e-05
27,0.030820,0.022276,0.085436,0.034611,29.4468,0.757946,9.82e-05
28,0.030781,0.022256,0.085250,0.033892,29.6380,0.758491,9.80e-05
29,0.030723,0.022222,0.085018,0.033860,29.6507,0.757988,9.79e-05
30,0.030727,0.022230,0.084965,0.033843,29.7014,0.760023,9.77e-05
31,0.030654,0.022191,0.084637,0.033806,29.7011,0.760750,9.76e-05
32,0.030680,0.022204,0.084759,0.033792,29.6802,0.758566,9.74e-05
33,0.030647,0.022189,0.084580,0.033812,29.6694,0.760091,9.72e-05
34,0.030629,0.022177,0.084520,0.033765,29.6909,0.759270,9.71e-05
35,0.030585,0.022147,0.084378,0.033739,29.6919,0.759491,9.69e-05
36,0.030627,0.022179,0.084482,0.033711,29.7259,0.761987,9.67e-05
37,0.030556,0.022139,0.084174,0.033731,29.6984,0.759914,9.65e-05
38,0.030619,0.022179,0.084403,0.033690,29.6861,0.758311,9.63e-05
39,0.030599,0.022152,0.084477,0.033641,29.6959,0.758666,9.61e-05
40,0.030507,0.022107,0.083998,0.033648,29.6855,0.759262,9.59e-05
41,0.030420,0.022060,0.083597,0.033648,29.7335,0.762178,9.57e-05
42,0.030474,0.022089,0.083846,0.033618,29.6883,0.759973,9.55e-05
43,0.030565,0.022152,0.084129,0.033656,29.7134,0.763052,9.53e-05
44,0.030455,0.022076,0.083783,0.033627,29.7134,0.761380,9.51e-05
45,0.030519,0.022125,0.083943,0.033616,29.7150,0.761696,9.48e-05
46,0.030560,0.022141,0.084196,0.033640,29.7151,0.761315,9.46e-05
47,0.030448,0.022079,0.083688,0.033555,29.7291,0.760998,9.44e-05
48,0.030476,0.022092,0.083850,0.033562,29.7184,0.760551,9.41e-05
49,0.030433,0.022069,0.083639,0.033577,29.7205,0.760901,9.39e-05
50,0.030536,0.022134,0.084023,0.033554,29.7132,0.761573,9.36e-05
51,0.030394,0.022043,0.083516,0.033564,29.7472,0.762706,9.34e-05
52,0.030393,0.022056,0.083373,0.033573,29.6926,0.759702,9.31e-05
53,0.030398,0.022042,0.083554,0.033537,29.7450,0.762054,9.28e-05
